Latitude,Longitude,PointID,LatLong,Area,Entrance Name,Description,Length,Loop?,Foot traffic,Tiring,Muddy,Road Noise,Avg Score
38.02582,-78.53816,1,"38.02582, -78.53816",Foxhaven Fields,Foxhaven Farm Rd.,"Nice parking area, gorgeous fields with perimeter trails. Well known but still easy to navigate and explore with space.",0.75,y,2,2,2,1,1.83
38.058336,-78.486275,2,"38.058336, -78.486275",West Meadow Creek,Brandywine near Whole Foods,"Semi-hidden entrance on side of the rd. Not many safe parking options, but nice access so great trail sections.",2,n,2,1,3,1,1.83
38.036358,-78.534872,3,"38.036358, -78.534872",Foxhaven Fields,Canterbury Rd,"Good parking spot for trail entrance. Follow boar signs on trees, takes you eventually to Foxhaven Fields. ",2,n,1,4,3,1,1.83
38.052949,-78.516931,4,"38.052949, -78.516931",UVA Horse Fields,Leonard Sandridge Rd,"Literally park on the side of the rd after ped crossing. Follow South trail, enjoy the beautiful fields!",0.75,n,1,3,3,2,1.83
38.044709,-78.462867,5,"38.044709, -78.462867",Locust-Park St,Holmes Ave,"Easy remote entrance, pawpaw heaven!",1,n,2,1,3,2,2.00
38.02459,-78.448859,6,"38.02459, -78.448859",Riverviews East,Remote Entrance,"Tricky trail entrance, follow the grass perpendicular to the road into the woods. Lots of pawpaws here, there's a trail leading down to the river trail.",2,n,1,3,4,2,2.00
38.022913,-78.531321,7,"38.022913, -78.531321",Forestry Loop,Dept Forestry North Entrance,"Nice parking, go back into grassy area to find trail entrance. Big ups and downs but great trail signs. ",1,y,1,4,2,3,2.00
38.056436,-78.489494,8,"38.056436, -78.489494",West Meadow Creek,Bottom of Rugby Frisbee Golf Entrance,"Tricky trail entrance, have to find semi-hidden trail path going under 250 to the better paved other side. Trail continues north into beautiful remote trail. ",2,n,1,4,3,2,2.00
38.021224,-78.526652,9,"38.021224, -78.526652",The Meadows,Bamboo Forest Bridge,"You can enter the Forestry Loop from here, or just follow the fields over to The Creek Bridge",0.8,n,1,3,5,1,2.00
38.039885,-78.453378,10,"38.039885, -78.453378",Darden Towe,Elk Dr,"Easy entrance, fairly busy, go either direction",2,n,3,1,2,1,2.17
