Area,avg Score,HTML_color,LatLong,Latitude,Longitude
Foxhaven Fields,1.833333333,#8126c0,"38.029037, -78.539581",38.029037,-78.539581
The Meadows,2,#ac6424,"38.018377, -78.525718",38.018377,-78.525718
Forestry Loop,2.222222222,#1d6914,"38.021631, -78.531129",38.021631,-78.531129
Darden Towe,2.333333333,#9dafff,"38.043094, -78.451833",38.043094,-78.451833
Locust-Park St,2.333333333,#ad2323,"38.045582, -78.462437",38.045582,-78.462437
Ivy Horse Fields,2.333333333,#29d0d0,"38.051661, -78.520143",38.051661,-78.520143
Harris PTA Loop,2.5,#2a4bd7,"38.011854, -78.493843",38.011854,-78.493843
Moore's Creek,2.5,#ff9233,"38.009875, -78.485825",38.009875,-78.485825
Soccer Field,2.5,#ffcdf3,"38.010477, -78.507552",38.010477,-78.507552
Meadow Creek,2.5,#e9debb,"38.061674, -78.483963",38.061674,-78.483963
Riverviews,2.555555556,#ffee33,"38.026671, -78.456391",38.026671,-78.456391
Azalea Park,2.583333333,#814a19,"38.009763, -78.514534",38.009763,-78.514534
Greenbriar Park,2.666666667,#575757,"38.060575, -78.472570",38.060575,-78.47257
Riverviews East,2.833333333,#2e0d0d,"38.027184, -78.450015",38.027184,-78.450015
Lewis Mtn,2.888888889,#a0a0a0,"38.036100, -78.523710",38.0361,-78.52371
Darden Grounds,3.166666667,#ffffff,"38.055238, -78.510890",38.055238,-78.51089
Moore's Creek Dam ,3.333333333,#df6800,"38.012999, -78.520186",38.012999,-78.520186
